Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision-Maker,C1 Manufacturer (Score / Evidence),C2 India-based (Score / Evidence),C3 Differentiated (Score / Evidence),C4 Technical DM (Score / Evidence),C5 Growing Sector (Score / Evidence),C6 Growth Signals (Score / Evidence),Federer Score,Band,Overall Verdict,Personalization Hook
Mylab Discovery Solutions Pvt. Ltd.,mylabglobal.com,Pune (Baner),Specialty Diagnostics & Life-science Tools,"Molecular diagnostic kits: ID-NAT, RT-PCR, HIV/HBV/HCV quantitative kits; point-of-care diagnostics",Rs.100-300Cr,"Hasmukh Rawal (Founder & CEO); Minal Bhosale (Chief Scientific Officer)",Strong — CDSCO/FDA-approved manufacturing facility in Pune; in-house R&D to production pipeline for Class C & D medical devices,Strong — HQ and manufacturing in Baner Pune,Strong — First Indian company to receive commercial approval for COVID-19 PCR kit; first in India for ID-NAT screening; ISO 13485 certified; 100% sensitivity/specificity in ICMR evaluation,Strong — Founder Hasmukh Rawal is a life-science entrepreneur; CSO Minal Bhosale is a virologist who built COVID kit in 6 weeks pre-delivery,Strong — Molecular diagnostics sector growing at 7.7% CAGR to $2.7B by 2033; Make-in-India push; export market entry,Strong — Active hiring on LinkedIn (10+ roles in 2024); new product lines (MyBeam X-ray device MyBox+ luminescence); DRDO expo participation; active website 2024-25,100,A,Strong Fit — Textbook Federer. Scientist-founder. First-mover IP in molecular diagnostics. Active product expansion.,"Asia's first ID-NAT test — a capability that most Indian blood banks still import; Mylab built it in Pune first."
Gennova Biopharmaceuticals Ltd.,gennova.bio,Pune (Hinjewadi),Specialty Biotech — Recombinant Proteins,"Recombinant biotherapeutics (biosimilars: filgrastim PEG-filgrastim tenecteplase); mRNA vaccines (Gemcovac-19); bacterial/yeast/mammalian expression platforms",Rs.100-300Cr (~$30M est.),Dr. Sanjay Singh (CEO — PhD scientist),Strong — Own manufacturing facility in Pune; end-to-end R&D to manufacturing for biologics,Strong — HQ Pune India,Strong — Launched world's first biosimilar tenecteplase globally approved for Acute Ischemic Stroke; DBT Biotech Product Award 2019; 9 commercialized products; perfusion-based continuous manufacturing IP,Strong — Dr. Sanjay Singh is PhD scientist leading R&D and commercialization; entire leadership team is science-trained,Strong — Biosimilars sector growing globally; mRNA platform (post-COVID); DBT Mission COVID Suraksha support; PLI scheme eligible,Strong — New mRNA vaccine pipeline; 2024 hiring visible on LinkedIn; active news section; ongoing clinical programs in oncology & ophthalmology,100,A,Strong Fit — Pioneer recombinant biotech with 'first-in-world' product. Scientist-led. Active pipeline.,Developed the world's first biosimilar tenecteplase approved for Acute Ischemic Stroke — now part of India's national stroke management guidelines (2024 update).
Indus Biotech Pvt. Ltd.,indusbiotech.com,Pune (Kondhwa),Specialty Biotech — Fermentation / Specialty Ingredients,"Nutraceutical bioactive ingredients from fenugreek: Testosurge® (testosterone support) Torabolic® (lean mass) Fenuflakes® (protein ingredient) Vinomerix® (grape seed extract); proprietary Natrusolate® extraction technology",Rs.30-100Cr (est. ~Rs.71Cr FY25 per Tracxn),Keshav Mimani (Founder),Strong — Own manufacturing facility in Pune with solar-powered plant; in-house extraction and formulation,Strong — HQ and manufacturing Pune,Strong — Multiple patents on Natrusolate® technology; clinically validated products with RCT data; US/EU market distribution; branded ingredients globally licensed,Moderate — Founder Keshav Mimani has entrepreneurial science background; formal scientific background not confirmed as PhD/IIT,Strong — Nutraceutical ingredients global export market; B2B ingredient licensing model; China+1 benefit for supplement sourcing,Moderate — Active website 2024-25; some export growth; limited new facility announcements; 197 employees per MCA,65,B,Probable Fit — Strong IP and differentiation. Global B2B model. Caveat: founder technical background less confirmed than ideal.,Testosurge® is clinically validated in 3 published RCTs — making it one of the very few nutraceutical ingredients globally with that level of human trial evidence.
GenePath Diagnostics,genepathdx.com,Pune (Kalyani Nagar area),Specialty Diagnostics — Genomics & Molecular Diagnostics,"Custom manufactured molecular diagnostic reagents; genomic testing kits for infectious disease/oncology/inherited disorders; IVD products for US/EU markets; NGS-based assays",Unknown (private small-mid),Management team includes molecular biology and genomics scientists (NABL-certified lab),Strong — Manufactures IVD products and custom reagents in-house; NABL-certified clinical lab in Pune,Strong — HQ and lab in Pune,Strong — CE-marked products; custom reagent manufacturing for US market (regulated); spans infectious disease oncology genetic disorder testing; NABL accreditation,Moderate — Team listed as molecular biologists and genomics experts; specific founder PhD background not publicly confirmed,Strong — Molecular diagnostics sector 7.7% CAGR; growing export market for custom reagents; oncology genomics tailwind,Moderate — Active website 2025; NABL certified; products across EU/US markets; limited public hiring data,70,B,Probable Fit — Strong on differentiation and export markets. Regulated CE-marked products. Caveat: founder profile less public.,"Since 2018 they've been selling custom-manufactured molecular diagnostic reagents directly into the US market — a regulatory bar most Indian diagnostics companies haven't crossed."
GeneOmbio Technologies Pvt. Ltd.,geneombiotechnologies.com,Pune (Bavdhan),Specialty Diagnostics — Genomics & Life-science Tools,"Genomics-based molecular diagnostic kits and contract research; qPCR RT-LAMP NGS assays; pharmacogenomics; nutrigenomics panels; NABL ISO 9001 DSIR-recognized lab",Unknown (small),Dr. Chavan (Co-founder — PhD virologist; 18 years translational research),Moderate — Manufactures molecular assays and kits; also offers contract services (watch: partial service component),Strong — Office in Bavdhan Pune,Strong — DSIR-recognized R&D unit; NABL ISO/IEC 17025 & ISO 15189 certified; proprietary assay panels; vendor audits passed for global biopharma majors,Strong — Dr. Chavan has PhD in HBV DNA assay development; published researcher; ISO-certified auditor; 18 years translational research,Strong — Genomics diagnostics tailwind; pharmacogenomics growing; NGS adoption accelerating in India,Moderate — Active website 2025; DSIR recognition obtained; presentations at SYMHEALTH 2024; limited public hiring data,75,B,Probable Fit — DSIR-recognized. PhD-led. Strong regulatory credentials. Scale is small but technical depth is real.,DSIR-recognized R&D unit with ISO 15189 certification — a combination that has allowed them to pass vendor audits for global biopharma companies directly from Pune.
KBCols Sciences Pvt. Ltd.,kbcols.com,Pune,Specialty Biotech — Fermentation / Bio-based Products,"Sustainable bio-based textile dyes and pigments produced via microbial fermentation; natural colorants for textile personal care and food industries",Unknown (startup ~Rs.10Cr est.),Padma Satish (Co-founder — scientist),Moderate — Fermentation-based production; own pilot plant; some outsourcing at early scale,Strong — Founded and operating in Pune,Strong — Global Change Award winner 2023 (H&M Foundation); National Startup Award 2022 (Ministry of Commerce); proprietary microbial fermentation strains for bio-dye production; first movers in sustainable textile colorants in India,Strong — Co-founder is scientist; bioprocess expertise confirmed by award selection,Strong — Circular economy + sustainable textiles tailwind; global brand mandates for sustainable dyes (H&M IKEA etc.); Make-in-India sustainable manufacturing,Strong — $1.2M investment from Nabventures June 2023; Global Change Award 2023; National Startup Award 2022; active hiring; new manufacturing scale-up,80,A,Strong Fit — Award-winning fermentation biotech with real IP. Scientist-led. Strong 2023 growth signals. Small scale but high potential.,Won the H&M Foundation Global Change Award in 2023 — beating applicants from 183 countries — for their microbial fermentation approach to textile dyes.
Serigen Mediproducts Pvt. Ltd.,serigen.com,Pune,Specialty Biotech — Recombinant Proteins / Biomaterials,"Silk fibroin-based 3D scaffolds for bone repair orthopaedics breast cancer reconstruction and advanced wound care; natural silk protein extraction and reprocessing technology",Unknown (startup ~Rs.5Cr est.),Dr. Bhushan Mahadik (Co-founder — scientist),Moderate — Manufactures silk scaffolds in own facility; novel production process for fibroin-based biomaterials,Strong — Based in Pune,Strong — First company globally to conduct clinical trial using silk for bone repair; Dr. K.H. Gharda Industrial Innovation Award 2023 for unique silk bone-repair material; proprietary solution-reprocessing technology,Strong — Scientist co-founder; deep materials science and biomedical engineering background,Strong — Biomaterials for orthopaedics growing; bone regeneration market expanding; clinical trial-stage differentiation creates regulatory moat,Strong — Seed funding $700K March 2023; award from SPSI September 2023; first global clinical trial in silk bone repair; active research publications,80,A,Strong Fit — First-in-world clinical position. Scientist-led. Strong 2023 signals. Revenue minimal but IP is exceptional.,"First company in the world to conduct a clinical trial using silk for bone repair — a claim no competitor can make, built in Pune."
AbGenics Life Sciences Pvt. Ltd.,abgenics.com,Pune,Specialty Diagnostics — Antibodies & Reagents,"Custom monoclonal and polyclonal antibodies; hybridoma development; immunoassay development; diagnostic antibody reagents for IVD manufacturers",Unknown (small),Translational research-driven leadership team,Moderate — Manufactures antibodies and reagents; also has contract research services (partial service component),Strong — Pune-based,Strong — Translational research-driven company; custom antibody manufacturing; serves IVD manufacturers as upstream supplier; niche within diagnostics value chain,Moderate — Leadership team described as translational research-driven; specific founder PhD credentials not fully public,Strong — Antibody reagent demand growing with IVD expansion; custom antibody market growing globally; upstream supplier position,Moderate — Active website; some LinkedIn presence; limited public expansion announcements,55,C,Borderline — Antibody manufacturing is niche and real. But partial service-company nature and limited public data warrant further diligence.,"Positioned as an upstream antibody manufacturer supplying IVD kit makers — a B2B role that insulates them from direct consumer healthcare competition."
Praj Industries Ltd.,praj.net,Pune,Specialty Biotech — Fermentation Technology / Process Engineering,"Bioethanol plant technology; advanced biofuels (2G ethanol); brewery plants; zero liquid discharge systems; critical process equipment; fermentation process solutions via Praj Matrix R&D centre",Rs.300-500Cr+ (listed company ~Rs.3500Cr revenue),Dr. Pramod Chaudhari (Executive Chairman — PhD chemical engineer; IIT-trained),Strong — Manufactures process equipment and fermentation systems; own R&D centre Matrix in Pune,Strong — HQ Pune listed on BSE/NSE,Strong — DSIR-recognized R&D centre Matrix; 100+ country presence; proprietary fermentation technology; 2G ethanol pioneer in India; PLI-eligible bioenergy,Strong — Dr. Pramod Chaudhari is PhD chemical engineer; IIT background; prolific technical publications; founder-led,Strong — Bioenergy PLI scheme; government ethanol blending mandate (20% by 2025); circular bioeconomy push; Make-in-India,Strong — Consistent revenue growth; multiple new plant commissions; active hiring; PLI project announcements 2023-24,FAIL — Revenue >Rs.500Cr,D,FAIL — Revenue exceeds Rs.500Cr threshold. Too large for DeepThought ICP.,"Auto-disqualified: Revenue ~Rs.3500Cr FY24. Well above the Rs.500Cr ceiling. Technically a perfect Federer — wrong size."
Mylab (already listed above — not duplicated),,,,,,,,,,,,,,,,
